timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-08-15 14:55:28+02:00,manual,timer,start,0,2024-08-15 12:55:28,Europe/Warsaw
2024-08-15 14:58:37+02:00,manual,timer,stop_all,0,2024-08-15 12:58:37,Europe/Warsaw
2024-08-15 14:58:52+02:00,manual,timer,start,0,2024-08-15 12:58:52,Europe/Warsaw
2024-08-15 15:01:25+02:00,manual,timer,stop_all,0,2024-08-15 13:01:25,Europe/Warsaw
2024-08-15 15:02:06+02:00,manual,timer,start,0,2024-08-15 13:02:06,Europe/Warsaw
2024-08-15 15:03:49+02:00,manual,timer,stop_all,0,2024-08-15 13:03:49,Europe/Warsaw
2024-08-15 15:03:59+02:00,manual,timer,start,0,2024-08-15 13:03:59,Europe/Warsaw
2024-08-15 15:04:04+02:00,manual,timer,stop_all,0,2024-08-15 13:04:04,Europe/Warsaw
2024-08-15 15:04:55+02:00,manual,timer,start,0,2024-08-15 13:04:55,Europe/Warsaw
2024-08-15 15:08:55+02:00,manual,timer,stop_all,0,2024-08-15 13:08:55,Europe/Warsaw
2024-08-15 15:09:10+02:00,manual,timer,start,0,2024-08-15 13:09:10,Europe/Warsaw
2024-08-15 15:11:46+02:00,manual,timer,stop_all,0,2024-08-15 13:11:46,Europe/Warsaw
2024-08-15 15:11:59+02:00,manual,timer,start,0,2024-08-15 13:11:59,Europe/Warsaw
2024-08-15 15:15:23+02:00,manual,timer,stop_all,0,2024-08-15 13:15:23,Europe/Warsaw
2024-08-15 15:15:59+02:00,manual,timer,start,0,2024-08-15 13:15:59,Europe/Warsaw
2024-08-15 15:17:03+02:00,manual,timer,stop_all,0,2024-08-15 13:17:03,Europe/Warsaw
2024-08-15 15:20:25+02:00,manual,timer,start,0,2024-08-15 13:20:25,Europe/Warsaw
2024-08-15 15:20:50+02:00,manual,timer,stop_all,0,2024-08-15 13:20:50,Europe/Warsaw
2024-08-15 15:21:11+02:00,manual,timer,start,0,2024-08-15 13:21:11,Europe/Warsaw
2024-08-15 15:22:48+02:00,manual,timer,stop_all,0,2024-08-15 13:22:48,Europe/Warsaw
2024-08-15 15:30:38+02:00,manual,timer,start,0,2024-08-15 13:30:38,Europe/Warsaw
2024-08-15 15:30:51+02:00,manual,timer,stop_all,0,2024-08-15 13:30:51,Europe/Warsaw
2024-08-15 15:31:49+02:00,manual,timer,start,0,2024-08-15 13:31:49,Europe/Warsaw
2024-08-15 15:31:55+02:00,manual,timer,stop_all,0,2024-08-15 13:31:55,Europe/Warsaw
2024-08-15 15:32:00+02:00,manual,timer,start,0,2024-08-15 13:32:00,Europe/Warsaw
2024-08-15 15:35:09+02:00,manual,timer,stop_all,0,2024-08-15 13:35:09,Europe/Warsaw
2024-08-15 15:35:19+02:00,manual,timer,start,0,2024-08-15 13:35:19,Europe/Warsaw
2024-08-15 15:35:29+02:00,manual,timer,stop_all,0,2024-08-15 13:35:29,Europe/Warsaw
