timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-07-27 17:07:56-05:00,manual,timer,start,0,2024-07-27 22:07:56,
2024-07-27 17:08:39-05:00,manual,timer,stop_all,0,2024-07-27 22:08:39,
2024-07-27 17:08:43-05:00,manual,timer,start,0,2024-07-27 22:08:43,
2024-07-27 17:08:58-05:00,manual,timer,stop_all,0,2024-07-27 22:08:58,
2024-07-27 17:09:19-05:00,manual,timer,start,0,2024-07-27 22:09:19,
2024-07-27 17:09:32-05:00,manual,timer,stop_all,0,2024-07-27 22:09:32,
2024-07-27 17:09:50-05:00,manual,timer,start,0,2024-07-27 22:09:50,
2024-07-27 17:10:00-05:00,manual,timer,stop_all,0,2024-07-27 22:10:00,
2024-07-27 17:10:03-05:00,manual,timer,start,0,2024-07-27 22:10:03,
