timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature,timestamp_utc,timezone
2024-11-03 07:48:42+01:00,2024-11-03 06:39:47,,,,,535.065,535.065,1000.0,506,102,6.7284,6.7284,,,,,lap,stop,138,144,,,distance,generic,0.7734375,0.7734375,,,,,2024-11-03 06:48:42,Europe/Warsaw
2024-11-03 07:58:41+01:00,2024-11-03 06:48:42,,,,,598.872,598.872,1000.0,519,96,6.012,6.012,,,,,lap,stop,137,145,,,distance,generic,0.015625,0.7734375,,,,,2024-11-03 06:58:41,Europe/Warsaw
2024-11-03 08:15:30+01:00,2024-11-03 06:58:41,,,,,1009.308,1009.308,1000.0,606,98,3.5676,3.5676,,,,,lap,stop,127,137,,,distance,generic,0.0390625,0.578125,,,,,2024-11-03 07:15:30,Europe/Warsaw
2024-11-03 08:25:19+01:00,2024-11-03 07:15:30,,,,,588.682,588.682,1000.0,378,95,6.1164000000000005,6.1164000000000005,,,,,lap,stop,131,138,,,distance,generic,0.515625,0.484375,,,,,2024-11-03 07:25:19,Europe/Warsaw
2024-11-03 08:37:15+01:00,2024-11-03 07:25:19,,,,,716.272,716.272,405.4,295,52,2.0376,2.0376,,,,,lap,stop,128,146,,,distance,generic,0.609375,0.3046875,,,,,2024-11-03 07:37:15,Europe/Warsaw
