timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-08-28 22:41:06+02:00,manual,timer,start,0,2024-08-28 20:41:06,Europe/Warsaw
2024-08-28 22:47:12+02:00,manual,timer,stop_all,0,2024-08-28 20:47:12,Europe/Warsaw
2024-08-28 23:42:04+02:00,manual,timer,start,0,2024-08-28 21:42:04,Europe/Warsaw
2024-08-28 23:44:43+02:00,manual,timer,stop_all,0,2024-08-28 21:44:43,Europe/Warsaw
2024-08-28 23:45:54+02:00,manual,timer,start,0,2024-08-28 21:45:54,Europe/Warsaw
2024-08-28 23:51:03+02:00,manual,timer,stop_all,0,2024-08-28 21:51:03,Europe/Warsaw
