timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-08-15 23:09:43+02:00,manual,timer,start,0,2024-08-15 21:09:43,Europe/Warsaw
2024-08-15 23:15:53+02:00,manual,timer,stop_all,0,2024-08-15 21:15:53,Europe/Warsaw
2024-08-15 23:16:14+02:00,manual,timer,start,0,2024-08-15 21:16:14,Europe/Warsaw
2024-08-15 23:19:23+02:00,manual,timer,stop_all,0,2024-08-15 21:19:23,Europe/Warsaw
2024-08-15 23:43:16+02:00,manual,timer,start,0,2024-08-15 21:43:16,Europe/Warsaw
2024-08-15 23:43:18+02:00,manual,timer,stop_all,0,2024-08-15 21:43:18,Europe/Warsaw
2024-08-16 00:07:14+02:00,manual,timer,start,0,2024-08-15 22:07:14,Europe/Warsaw
2024-08-16 00:15:02+02:00,manual,timer,stop_all,0,2024-08-15 22:15:02,Europe/Warsaw
2024-08-16 00:15:22+02:00,manual,timer,start,0,2024-08-15 22:15:22,Europe/Warsaw
2024-08-16 00:16:13+02:00,manual,timer,stop_all,0,2024-08-15 22:16:13,Europe/Warsaw
