timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature,timestamp_utc,timezone
2024-10-24 19:44:33+02:00,2024-10-24 17:30:49,,,,,823.829,823.829,1000.0,522,77,4.3704,4.3704,,,,,lap,stop,100,111,,,distance,generic,0.4296875,0.484375,,,,,2024-10-24 17:44:33,Europe/Warsaw
2024-10-24 19:54:28+02:00,2024-10-24 17:44:33,,,,,594.375,594.375,1000.0,477,69,6.0552,6.0552,,,,,lap,stop,108,118,,,distance,generic,0.1953125,0.484375,,,,,2024-10-24 17:54:28,Europe/Warsaw
2024-10-24 20:10:28+02:00,2024-10-24 17:54:28,,,,,960.037,960.037,151.04,107,37,0.5652,0.5652,,,,,lap,stop,93,122,,,distance,generic,0.078125,0.7109375,,,,,2024-10-24 18:10:28,Europe/Warsaw
