timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-08-11 14:41:59+02:00,manual,timer,start,0,2024-08-11 12:41:59,Europe/Warsaw
2024-08-11 14:45:08+02:00,manual,timer,stop_all,0,2024-08-11 12:45:08,Europe/Warsaw
2024-08-11 14:45:41+02:00,manual,timer,start,0,2024-08-11 12:45:41,Europe/Warsaw
2024-08-11 14:47:01+02:00,manual,timer,stop_all,0,2024-08-11 12:47:01,Europe/Warsaw
2024-08-11 15:29:12+02:00,manual,timer,start,0,2024-08-11 13:29:12,Europe/Warsaw
2024-08-11 15:32:31+02:00,manual,timer,stop_all,0,2024-08-11 13:32:31,Europe/Warsaw
2024-08-11 15:33:33+02:00,manual,timer,start,0,2024-08-11 13:33:33,Europe/Warsaw
2024-08-11 15:36:16+02:00,manual,timer,stop_all,0,2024-08-11 13:36:16,Europe/Warsaw
2024-08-11 15:37:41+02:00,manual,timer,start,0,2024-08-11 13:37:41,Europe/Warsaw
2024-08-11 15:37:45+02:00,manual,timer,stop_all,0,2024-08-11 13:37:45,Europe/Warsaw
