timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature,timestamp_utc,timezone
2024-11-17 12:05:40+01:00,2024-11-17 10:50:05,,,,,934.199,934.199,1000.0,601,90,3.8520000000000003,3.8520000000000003,,,,,lap,stop,91,98,,,distance,generic,0.625,0.734375,,,,,2024-11-17 11:05:40,Europe/Warsaw
2024-11-17 12:25:28+01:00,2024-11-17 11:05:40,,,,,1188.815,1188.815,1000.0,614,110,3.0276,3.0276,,,,,lap,stop,94,118,,,distance,generic,0.96875,0.390625,,,,,2024-11-17 11:25:28,Europe/Warsaw
2024-11-17 12:42:44+01:00,2024-11-17 11:25:28,,,,,1035.172,1035.172,1000.0,636,82,3.4776,3.4776,,,,,lap,stop,92,105,,,distance,generic,0.8515625,0.9375,,,,,2024-11-17 11:42:44,Europe/Warsaw
2024-11-17 12:59:43+01:00,2024-11-17 11:42:44,,,,,1019.705,1019.705,1000.0,563,89,3.5316,3.5316,,,,,lap,stop,93,98,,,distance,generic,0.125,0.9375,,,,,2024-11-17 11:59:43,Europe/Warsaw
2024-11-17 13:15:12+01:00,2024-11-17 11:59:43,,,,,928.409,928.409,415.75,231,51,1.6128,1.6128,,,,,lap,stop,90,100,,,distance,generic,0.2578125,0.90625,,,,,2024-11-17 12:15:12,Europe/Warsaw
