timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-08-14 22:00:35+02:00,manual,timer,start,0,2024-08-14 20:00:35,Europe/Warsaw
2024-08-14 22:04:30+02:00,manual,timer,stop_all,0,2024-08-14 20:04:30,Europe/Warsaw
2024-08-14 22:04:51+02:00,manual,timer,start,0,2024-08-14 20:04:51,Europe/Warsaw
2024-08-14 22:06:38+02:00,manual,timer,stop_all,0,2024-08-14 20:06:38,Europe/Warsaw
2024-08-14 22:07:24+02:00,manual,timer,start,0,2024-08-14 20:07:24,Europe/Warsaw
2024-08-14 22:08:56+02:00,manual,timer,stop_all,0,2024-08-14 20:08:56,Europe/Warsaw
2024-08-14 22:09:04+02:00,manual,timer,start,0,2024-08-14 20:09:04,Europe/Warsaw
2024-08-14 22:12:00+02:00,manual,timer,stop_all,0,2024-08-14 20:12:00,Europe/Warsaw
2024-08-14 22:12:36+02:00,manual,timer,start,0,2024-08-14 20:12:36,Europe/Warsaw
2024-08-14 22:13:47+02:00,manual,timer,stop_all,0,2024-08-14 20:13:47,Europe/Warsaw
2024-08-14 22:14:25+02:00,manual,timer,start,0,2024-08-14 20:14:25,Europe/Warsaw
2024-08-14 22:17:11+02:00,manual,timer,stop_all,0,2024-08-14 20:17:11,Europe/Warsaw
2024-08-14 22:17:42+02:00,manual,timer,start,0,2024-08-14 20:17:42,Europe/Warsaw
2024-08-14 22:21:27+02:00,manual,timer,stop_all,0,2024-08-14 20:21:27,Europe/Warsaw
