timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2024-09-20 20:43:04+02:00,manual,timer,start,0,2024-09-20 18:43:04,Europe/Warsaw
2024-09-20 20:46:19+02:00,manual,timer,stop_all,0,2024-09-20 18:46:19,Europe/Warsaw
2024-09-20 20:46:47+02:00,manual,timer,start,0,2024-09-20 18:46:47,Europe/Warsaw
2024-09-20 20:48:06+02:00,manual,timer,stop_all,0,2024-09-20 18:48:06,Europe/Warsaw
2024-09-20 20:49:12+02:00,manual,timer,start,0,2024-09-20 18:49:12,Europe/Warsaw
2024-09-20 20:49:25+02:00,manual,timer,stop_all,0,2024-09-20 18:49:25,Europe/Warsaw
2024-09-20 20:49:33+02:00,manual,timer,start,0,2024-09-20 18:49:33,Europe/Warsaw
2024-09-20 20:49:53+02:00,manual,timer,stop_all,0,2024-09-20 18:49:53,Europe/Warsaw
2024-09-20 20:49:58+02:00,manual,timer,start,0,2024-09-20 18:49:58,Europe/Warsaw
2024-09-20 20:51:53+02:00,manual,timer,stop_all,0,2024-09-20 18:51:53,Europe/Warsaw
2024-09-20 20:52:42+02:00,manual,timer,start,0,2024-09-20 18:52:42,Europe/Warsaw
2024-09-20 20:53:17+02:00,manual,timer,stop_all,0,2024-09-20 18:53:17,Europe/Warsaw
2024-09-20 20:53:35+02:00,manual,timer,start,0,2024-09-20 18:53:35,Europe/Warsaw
2024-09-20 20:53:51+02:00,manual,timer,stop_all,0,2024-09-20 18:53:51,Europe/Warsaw
2024-09-20 20:55:33+02:00,manual,timer,start,0,2024-09-20 18:55:33,Europe/Warsaw
2024-09-20 20:55:38+02:00,manual,timer,stop_all,0,2024-09-20 18:55:38,Europe/Warsaw
