timestamp,timer_trigger,event,event_type,event_group,timestamp_utc,timezone
2025-02-05 13:27:45+01:00,manual,timer,start,0,2025-02-05 12:27:45,Europe/Warsaw
2025-02-05 13:56:30+01:00,manual,timer,stop_all,0,2025-02-05 12:56:30,Europe/Warsaw
2025-02-05 14:18:28+01:00,manual,timer,start,0,2025-02-05 13:18:28,Europe/Warsaw
